query_title,title,year,date,cites,venue,doi,url,authors,abstract
Reflexion: Language Agents with Verbal Reinforcement Learning,Reflexion: language agents with verbal reinforcement learning,2023,2023-01-01,497,,https://doi.org/10.52202/075280-0377,https://doi.org/10.52202/075280-0377,Noah Shinn; Federico Cassano; Ashwin Gopinath,
Generative Agents: Interactive Simulacra of Human Behavior,Generative Agents: Interactive Simulacra of Human Behavior,2023,2023-10-20,1823,,https://doi.org/10.1145/3586183.3606763,https://doi.org/10.1145/3586183.3606763,Joon Sung Park; Joseph O’Brien; Carrie J. Cai,"Believable proxies of human behavior can empower interactive applications ranging from immersive environments to rehearsal spaces for interpersonal communication to prototyping tools. In this paper, we introduce generative agents: computational software agents that simulate believable human behavior. Generative agents wake up, cook breakfast, and head to work; artists paint, while authors write; they form opinions, notice each other, and initiate conversations; they remember and reflect on days past as they plan the next day. To enable generative agents, we describe an architecture that extend"
MemGPT: Towards LLMs as Operating Systems,MemGPT: Towards LLMs as Operating Systems,2023,2023-10-12,55,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2310.08560,http://arxiv.org/abs/2310.08560,Charles Packer; Sarah Wooders; Kevin Lin,"Large language models (LLMs) have revolutionized AI, but are constrained by limited context windows, hindering their utility in tasks like extended conversations and document analysis. To enable using context beyond limited context windows, we propose virtual context management, a technique drawing inspiration from hierarchical memory systems in traditional operating systems that provide the appearance of large memory resources through data movement between fast and slow memory. Using this technique, we introduce MemGPT (Memory-GPT), a system that intelligently manages different memory tiers i"
Voyager: An Open-Ended Embodied Agent with Large Language Models,Voyager: An Open-Ended Embodied Agent with Large Language Models,2023,2023-05-25,204,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2305.16291,http://arxiv.org/abs/2305.16291,Guanzhi Wang; Yuqi Xie; Yunfan Jiang,"We introduce Voyager, the first LLM-powered embodied lifelong learning agent in Minecraft that continuously explores the world, acquires diverse skills, and makes novel discoveries without human intervention. Voyager consists of three key components: 1) an automatic curriculum that maximizes exploration, 2) an ever-growing skill library of executable code for storing and retrieving complex behaviors, and 3) a new iterative prompting mechanism that incorporates environment feedback, execution errors, and self-verification for program improvement. Voyager interacts with GPT-4 via blackbox querie"
Inner Monologue: Embodied Reasoning through Planning with Language Models,Inner Monologue: Embodied Reasoning through Planning with Language Models,2022,2022-07-12,208,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2207.05608,http://arxiv.org/abs/2207.05608,Wenlong Huang; Fei Xia; Ted Xiao,"Recent works have shown how the reasoning capabilities of Large Language Models (LLMs) can be applied to domains beyond natural language processing, such as planning and interaction for robots. These embodied problems require an agent to understand many semantic aspects of the world: the repertoire of skills available, how these skills influence the world, and how changes to the world map back to the language. LLMs planning in embodied environments need to consider not just what skills to do, but also how and when to do them - answers that change over time in response to the agent's own choice"
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances","Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",2022,2022-04-04,523,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2204.01691,http://arxiv.org/abs/2204.01691,"Ahn, Michael; Anthony Brohan; Noah Brown","Large language models can encode a wealth of semantic knowledge about the world. Such knowledge could be extremely useful to robots aiming to act upon high-level, temporally extended instructions expressed in natural language. However, a significant weakness of language models is that they lack real-world experience, which makes it difficult to leverage them for decision making within a given embodiment. For example, asking a language model to describe how to clean a spill might result in a reasonable narrative, but it may not be applicable to a particular agent, such as a robot, that needs to"
Cognitive Architectures for Language Agents,Cognitive Architectures for Language Agents,2023,2023-09-05,68,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2309.02427,http://arxiv.org/abs/2309.02427,Theodore R. Sumers; Shunyu Yao; Karthik Narasimhan,"Recent efforts have augmented large language models (LLMs) with external resources (e.g., the Internet) or internal control flows (e.g., prompt chaining) for tasks requiring grounding or reasoning, leading to a new class of language agents. While these agents have achieved substantial empirical success, we lack a systematic framework to organize existing agents and plan future developments. In this paper, we draw on the rich history of cognitive science and symbolic artificial intelligence to propose Cognitive Architectures for Language Agents (CoALA). CoALA describes a language agent with mod"
Reasoning with Language Model is Planning with World Model,Reasoning with Language Model is Planning with World Model,2023,2023-01-01,142,,https://doi.org/10.18653/v1/2023.emnlp-main.507,https://doi.org/10.18653/v1/2023.emnlp-main.507,Shibo Hao; Yi Gu; Haodi Ma,"Large language models (LLMs) have shown remarkable reasoning capabilities, particularly with chain-of-thought (CoT) prompting.However, LLMs sometimes still struggle with problems that are easy for humans, such as generating action plans to achieve given goals in an environment, or performing complex math or logical reasoning.The deficiency stems from the key fact that LLMs lack an internal world model to predict the world state (e.g., environment status, intermediate variable values) and simulate long-term outcomes of actions.This prevents LLMs from performing deliberate planning akin to human"
Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023,2023-05-17,573,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2305.10601,http://arxiv.org/abs/2305.10601,Shunyu Yao; Dian Yu; Jeffrey Zhao,"Language models are increasingly being deployed for general problem solving across a wide range of tasks, but are still confined to token-level, left-to-right decision-making processes during inference. This means they can fall short in tasks that require exploration, strategic lookahead, or where initial decisions play a pivotal role. To surmount these challenges, we introduce a new framework for language model inference, Tree of Thoughts (ToT), which generalizes over the popular Chain of Thought approach to prompting language models, and enables exploration over coherent units of text (thoug"
Toolformer: Language Models Can Teach Themselves to Use Tools,Toolformer: Language Models Can Teach Themselves to Use Tools,2023,2023-02-09,402,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2302.04761,http://arxiv.org/abs/2302.04761,Timo Schick; Jane Dwivedi-Yu; Roberto Dessì,"Language models (LMs) exhibit remarkable abilities to solve new tasks from just a few examples or textual instructions, especially at scale. They also, paradoxically, struggle with basic functionality, such as arithmetic or factual lookup, where much simpler and smaller models excel. In this paper, we show that LMs can teach themselves to use external tools via simple APIs and achieve the best of both worlds. We introduce Toolformer, a model trained to decide which APIs to call, when to call them, what arguments to pass, and how to best incorporate the results into future token prediction. Thi"
